256
255,255,255
219,219,219
182,182,182
146,146,146
109,109,109
73,73,73
36,36,36
0,0,0
255,119,0
219,102,0
182,85,0
146,68,0
109,51,0
73,34,0
36,17,0
153,126,61
131,108,52
109,90,44
87,72,35
66,54,26
44,36,17
22,18,9
204,150,20
175,129,17
146,107,14
117,86,11
87,64,9
58,43,6
29,21,3
64,255,238
55,219,204
46,182,170
37,146,136
27,109,102
18,73,68
9,36,34
20,204,135
17,175,116
14,146,96
11,117,77
9,87,58
6,58,39
3,29,19
255,0,0
219,0,0
182,0,0
146,0,0
109,0,0
73,0,0
36,0,0
255,138,36
255,158,72
255,177,109
255,196,146
255,216,182
255,236,218
168,144,89
182,162,117
197,181,144
212,200,172
226,218,200
240,236,227
211,165,54
218,180,88
226,195,121
233,210,154
240,225,188
248,240,222
91,255,240
118,255,242
146,255,245
173,255,248
200,255,250
228,255,252
54,211,152
88,218,169
121,226,186
154,233,204
188,240,221
222,248,238
146,79,21
146,90,42
146,101,63
146,112,84
146,124,104
146,135,125
95,83,51
104,94,67
112,104,83
120,114,98
129,125,114
138,136,130
121,95,30
125,104,49
129,112,69
134,120,88
138,129,107
142,138,127
53,146,137
68,146,138
84,146,140
100,146,142
115,146,143
130,146,144
30,121,87
49,125,97
69,129,107
88,134,116
107,138,126
127,142,136
146,21,21
146,42,42
146,63,63
146,84,84
146,104,104
146,125,125
255,255,0
255,0,0
0,255,0
32,15,177
184,176,255
30,14,163
79,64,207
75,61,196
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
